# SDSS DR7 selection function from McGreer et al. (2013)
# corrected for cosmology in M1450
# corrected for photometric and spectroscopic incompleteness
# this is only for the riz inclusion box and not for griz stellar locus outlier selection
# -> maybe not trustworthy at z<4.6, Richards et al. selection function is ~1 but McGreer's is ~0
# Tile dz and dmag set using tiling.py with z_tolerance = 0.0100 and mag_tolerance = 0.0010; see unique values at end of file.
# Tile sizes are non-uniform only a low redshift due to host-galaxy correction.
# counter   z   M1450   p   dz   dmag 
   37  4.525  -26.18  0.13989  0.0500  0.100
   38  4.525  -26.08  0.11732  0.0500  0.100
   39  4.525  -25.98  0.14891  0.0500  0.100
   40  4.525  -25.88  0.18050  0.0500  0.100
   41  4.525  -25.78  0.17147  0.0500  0.100
   42  4.525  -25.68  0.02256  0.0500  0.100
   43  4.525  -25.58  0.00451  0.0500  0.100
   44  4.525  -25.48  0.00451  0.0500  0.100
   45  4.525  -25.38  0.00000  0.0500  0.100
   46  4.525  -25.28  0.00000  0.0500  0.100
   47  4.525  -25.18  0.00000  0.0500  0.100
   48  4.525  -25.08  0.00000  0.0500  0.100
   49  4.525  -24.98  0.00000  0.0500  0.100
   50  4.525  -24.88  0.00000  0.0500  0.100
   51  4.525  -24.78  0.00000  0.0500  0.100
   52  4.525  -24.68  0.00000  0.0500  0.100
   53  4.525  -24.58  0.00000  0.0500  0.100
   54  4.575  -29.78  0.00000  0.0500  0.100
   55  4.575  -29.68  0.00451  0.0500  0.100
   56  4.575  -29.58  0.00000  0.0500  0.100
   57  4.575  -29.48  0.00000  0.0500  0.100
   58  4.575  -29.38  0.00000  0.0500  0.100
   59  4.575  -29.28  0.00451  0.0500  0.100
   60  4.575  -29.18  0.00451  0.0500  0.100
   61  4.575  -29.08  0.00451  0.0500  0.100
   62  4.575  -28.98  0.02256  0.0500  0.100
   63  4.575  -28.88  0.05866  0.0500  0.100
   64  4.575  -28.78  0.11732  0.0500  0.100
   65  4.575  -28.68  0.14891  0.0500  0.100
   66  4.575  -28.58  0.27977  0.0500  0.100
   67  4.575  -28.48  0.28429  0.0500  0.100
   68  4.575  -28.38  0.32941  0.0500  0.100
   69  4.575  -28.28  0.35649  0.0500  0.100
   70  4.575  -28.18  0.55504  0.0500  0.100
   71  4.575  -28.08  0.57309  0.0500  0.100
   72  4.575  -27.98  0.50540  0.0500  0.100
   73  4.575  -27.88  0.51894  0.0500  0.100
   74  4.575  -27.78  0.60919  0.0500  0.100
   75  4.575  -27.68  0.57309  0.0500  0.100
   76  4.575  -27.58  0.61370  0.0500  0.100
   77  4.575  -27.48  0.60016  0.0500  0.100
   78  4.575  -27.38  0.54150  0.0500  0.100
   79  4.575  -27.28  0.54150  0.0500  0.100
