# 2SLAQ selection function in SGP region (Croom et al. 2009, MNRAS, 392, 19)
# M1450 computed with imag corrected for host galaxy light (Croom et al. 2009, MNRAS, 392, 19) and Beta's SED
# selection function corrected for coverage completeness (not all targets observed, different for NGP and SGP regions, Fig 4 in Croom et al.)
# selection function corrected for spectroscopic completeness (redshift success, Fig 6b in Croom et al., only quality=1 redshifts considered)
# Tiles at z >= 2.2 removed from original file.
# Tile dz and dmag set using tiling.py with z_tolerance = 0.0100 and mag_tolerance = 0.0010; see unique values at end of file.
# Tile sizes are non-uniform only a low redshift due to host-galaxy correction.
# counter   z   M1450   p   dz   dmag 
  111  0.500  -19.68  0.16061  0.0500  0.270
  112  0.500  -19.42  0.14206  0.0500  0.260
  113  0.550  -23.51  0.79883  0.0500  0.250
  114  0.550  -23.26  0.82315  0.0500  0.255
  115  0.550  -23.00  0.83449  0.0500  0.255
  116  0.550  -22.75  0.80391  0.0500  0.250
  117  0.550  -22.50  0.69814  0.0500  0.250
  118  0.550  -22.25  0.55756  0.0500  0.255
  119  0.550  -21.99  0.38392  0.0500  0.255
  120  0.550  -21.74  0.32352  0.0500  0.250
  121  0.550  -21.49  0.32449  0.0500  0.255
  122  0.550  -21.23  0.22594  0.0500  0.260
  123  0.550  -20.97  0.35407  0.0500  0.260
  124  0.550  -20.71  0.45422  0.0500  0.255
  125  0.550  -20.46  0.41249  0.0500  0.255
  126  0.550  -20.20  0.22263  0.0500  0.265
  127  0.550  -19.93  0.17051  0.0500  0.270
  128  0.550  -19.66  0.13522  0.0500  0.270
  129  0.600  -23.71  0.78305  0.0500  0.250
  130  0.600  -23.46  0.80689  0.0500  0.250
  131  0.600  -23.21  0.83799  0.0500  0.255
  132  0.600  -22.95  0.78539  0.0500  0.255
  133  0.600  -22.70  0.68851  0.0500  0.250
  134  0.600  -22.45  0.54809  0.0500  0.250
  135  0.600  -22.20  0.37976  0.0500  0.250
  136  0.600  -21.95  0.31681  0.0500  0.255
  137  0.600  -21.69  0.30943  0.0500  0.255
  138  0.600  -21.44  0.22203  0.0500  0.255
  139  0.600  -21.18  0.34141  0.0500  0.255
  140  0.600  -20.93  0.47232  0.0500  0.255
  141  0.600  -20.67  0.40963  0.0500  0.260
  142  0.600  -20.41  0.21763  0.0500  0.260
  143  0.600  -20.15  0.17521  0.0500  0.260
  144  0.600  -19.89  0.15574  0.0500  0.260
  145  0.650  -23.89  0.79634  0.0500  0.250
  146  0.650  -23.64  0.82058  0.0500  0.250
  147  0.650  -23.39  0.83712  0.0500  0.250
  148  0.650  -23.14  0.78287  0.0500  0.250
  149  0.650  -22.89  0.69295  0.0500  0.250
  150  0.650  -22.64  0.53685  0.0500  0.250
  151  0.650  -22.39  0.37976  0.0500  0.250
  152  0.650  -22.14  0.31928  0.0500  0.255
  153  0.650  -21.88  0.32270  0.0500  0.255
  154  0.650  -21.63  0.22647  0.0500  0.250
  155  0.650  -21.38  0.35323  0.0500  0.255
  156  0.650  -21.12  0.47473  0.0500  0.255
  157  0.650  -20.87  0.41650  0.0500  0.255
  158  0.650  -20.61  0.26316  0.0500  0.255
  159  0.650  -20.36  0.22527  0.0500  0.255
  160  0.650  -20.10  0.18994  0.0500  0.260
  161  0.700  -24.07  0.79551  0.0500  0.250
  162  0.700  -23.82  0.81972  0.0500  0.250
  163  0.700  -23.57  0.83799  0.0500  0.250
  164  0.700  -23.32  0.79886  0.0500  0.250
  165  0.700  -23.07  0.71516  0.0500  0.250
  166  0.700  -22.82  0.56348  0.0500  0.250
  167  0.700  -22.57  0.39391  0.0500  0.255
  168  0.700  -22.31  0.33166  0.0500  0.255
  169  0.700  -22.06  0.33130  0.0500  0.250
  170  0.700  -21.81  0.23430  0.0500  0.250
  171  0.700  -21.56  0.37560  0.0500  0.255
  172  0.700  -21.30  0.51032  0.0500  0.255
  173  0.700  -21.05  0.47379  0.0500  0.250
  174  0.700  -20.80  0.32645  0.0500  0.255
  175  0.700  -20.54  0.27950  0.0500  0.255
  176  0.700  -20.29  0.24518  0.0500  0.250
  177  0.750  -24.23  0.79135  0.0500  0.250
  178  0.750  -23.98  0.81545  0.0500  0.250
  179  0.750  -23.73  0.84325  0.0500  0.250
  180  0.750  -23.48  0.80055  0.0500  0.250
  181  0.750  -23.23  0.70776  0.0500  0.250
  182  0.750  -22.98  0.56052  0.0500  0.255
  183  0.750  -22.72  0.39766  0.0500  0.255
  184  0.750  -22.47  0.33661  0.0500  0.250
  185  0.750  -22.22  0.34170  0.0500  0.250
  186  0.750  -21.97  0.24371  0.0500  0.250
  187  0.750  -21.72  0.39079  0.0500  0.250
  188  0.750  -21.47  0.53686  0.0500  0.255
  189  0.750  -21.21  0.50186  0.0500  0.255
  190  0.750  -20.96  0.36865  0.0500  0.250
  191  0.750  -20.71  0.33581  0.0500  0.255
  192  0.750  -20.45  0.29727  0.0500  0.260
  193  0.800  -24.38  0.79800  0.0500  0.250
  194  0.800  -24.13  0.82229  0.0500  0.250
  195  0.800  -23.88  0.84325  0.0500  0.250
  196  0.800  -23.63  0.80896  0.0500  0.250
  197  0.800  -23.38  0.71220  0.0500  0.250
  198  0.800  -23.13  0.56703  0.0500  0.250
  199  0.800  -22.88  0.40183  0.0500  0.250
  200  0.800  -22.63  0.33873  0.0500  0.250
  201  0.800  -22.38  0.34134  0.0500  0.255
  202  0.800  -22.12  0.24971  0.0500  0.255
  203  0.800  -21.87  0.39670  0.0500  0.250
  204  0.800  -21.62  0.56159  0.0500  0.250
  205  0.800  -21.37  0.51504  0.0500  0.250
  206  0.800  -21.12  0.41417  0.0500  0.250
  207  0.800  -20.87  0.36658  0.0500  0.255
  208  0.800  -20.61  0.34778  0.0500  0.260
  209  0.850  -24.53  0.80713  0.0500  0.250
  210  0.850  -24.28  0.83170  0.0500  0.250
  211  0.850  -24.03  0.84500  0.0500  0.250
  212  0.850  -23.78  0.81822  0.0500  0.250
  213  0.850  -23.53  0.71961  0.0500  0.250
  214  0.850  -23.28  0.57236  0.0500  0.250
  215  0.850  -23.03  0.40641  0.0500  0.250
  216  0.850  -22.78  0.34757  0.0500  0.250
  217  0.850  -22.53  0.34923  0.0500  0.250
  218  0.850  -22.28  0.25050  0.0500  0.250
  219  0.850  -22.03  0.40514  0.0500  0.255
  220  0.850  -21.77  0.57004  0.0500  0.255
  221  0.850  -21.52  0.52764  0.0500  0.250
  222  0.850  -21.27  0.43638  0.0500  0.250
  223  0.850  -21.02  0.39109  0.0500  0.250
  224  0.850  -20.77  0.38987  0.0500  0.250
  225  0.900  -24.68  0.80630  0.0500  0.250
  226  0.900  -24.43  0.83085  0.0500  0.250
  227  0.900  -24.18  0.85813  0.0500  0.250
  228  0.900  -23.93  0.82496  0.0500  0.250
  229  0.900  -23.68  0.72775  0.0500  0.250
  230  0.900  -23.43  0.58124  0.0500  0.250
  231  0.900  -23.18  0.40682  0.0500  0.250
  232  0.900  -22.93  0.34509  0.0500  0.250
  233  0.900  -22.68  0.34816  0.0500  0.250
  234  0.900  -22.43  0.25233  0.0500  0.250
  235  0.900  -22.18  0.40725  0.0500  0.250
  236  0.900  -21.93  0.57969  0.0500  0.250
  237  0.900  -21.68  0.54426  0.0500  0.250
  238  0.900  -21.43  0.46358  0.0500  0.250
  239  0.900  -21.18  0.42185  0.0500  0.250
  240  0.900  -20.93  0.39724  0.0500  0.250
  241  0.950  -24.84  0.81959  0.0500  0.250
  242  0.950  -24.59  0.84454  0.0500  0.250
  243  0.950  -24.34  0.86864  0.0500  0.250
  244  0.950  -24.09  0.82917  0.0500  0.250
  245  0.950  -23.84  0.73071  0.0500  0.250
  246  0.950  -23.59  0.57828  0.0500  0.255
  247  0.950  -23.33  0.41307  0.0500  0.255
  248  0.950  -23.08  0.34969  0.0500  0.250
  249  0.950  -22.83  0.35318  0.0500  0.250
  250  0.950  -22.58  0.25494  0.0500  0.250
  251  0.950  -22.33  0.41231  0.0500  0.250
  252  0.950  -22.08  0.58451  0.0500  0.250
  253  0.950  -21.83  0.55285  0.0500  0.250
  254  0.950  -21.58  0.48079  0.0500  0.250
  255  0.950  -21.33  0.42602  0.0500  0.250
  256  0.950  -21.08  0.40460  0.0500  0.250
  257  1.000  -24.96  0.82457  0.0500  0.250
  258  1.000  -24.71  0.84967  0.0500  0.250
  259  1.000  -24.46  0.86776  0.0500  0.250
  260  1.000  -24.21  0.83759  0.0500  0.250
  261  1.000  -23.96  0.73367  0.0500  0.250
  262  1.000  -23.71  0.58834  0.0500  0.250
  263  1.000  -23.46  0.41348  0.0500  0.250
  264  1.000  -23.21  0.35039  0.0500  0.250
  265  1.000  -22.96  0.35533  0.0500  0.250
  266  1.000  -22.71  0.25938  0.0500  0.250
  267  1.000  -22.46  0.41484  0.0500  0.250
  268  1.000  -22.21  0.58632  0.0500  0.250
  269  1.000  -21.96  0.54941  0.0500  0.250
  270  1.000  -21.71  0.47135  0.0500  0.250
  271  1.000  -21.46  0.42081  0.0500  0.250
  272  1.000  -21.21  0.41407  0.0500  0.250
  273  1.050  -25.08  0.82208  0.0500  0.250
  274  1.050  -24.83  0.84711  0.0500  0.250
  275  1.050  -24.58  0.86864  0.0500  0.250
  276  1.050  -24.33  0.83169  0.0500  0.250
  277  1.050  -24.08  0.73663  0.0500  0.250
  278  1.050  -23.83  0.58716  0.0500  0.250
  279  1.050  -23.58  0.41182  0.0500  0.250
  280  1.050  -23.33  0.34686  0.0500  0.250
  281  1.050  -23.08  0.35605  0.0500  0.250
  282  1.050  -22.83  0.25703  0.0500  0.255
  283  1.050  -22.57  0.41527  0.0500  0.255
  284  1.050  -22.32  0.58150  0.0500  0.250
  285  1.050  -22.07  0.55572  0.0500  0.250
  286  1.050  -21.82  0.46469  0.0500  0.250
  287  1.050  -21.57  0.41820  0.0500  0.250
  288  1.050  -21.32  0.39724  0.0500  0.250
  289  1.100  -25.18  0.82540  0.0500  0.250
  290  1.100  -24.93  0.85053  0.0500  0.250
  291  1.100  -24.68  0.86951  0.0500  0.250
  292  1.100  -24.43  0.83590  0.0500  0.250
  293  1.100  -24.18  0.73293  0.0500  0.250
  294  1.100  -23.93  0.58775  0.0500  0.250
  295  1.100  -23.68  0.41224  0.0500  0.250
  296  1.100  -23.43  0.35146  0.0500  0.250
  297  1.100  -23.18  0.35461  0.0500  0.250
  298  1.100  -22.93  0.25572  0.0500  0.250
  299  1.100  -22.68  0.41358  0.0500  0.250
  300  1.100  -22.43  0.58512  0.0500  0.250
  301  1.100  -22.18  0.54827  0.0500  0.250
  302  1.100  -21.93  0.46580  0.0500  0.250
  303  1.100  -21.68  0.41455  0.0500  0.250
  304  1.100  -21.43  0.40408  0.0500  0.250
  305  1.150  -25.29  0.82042  0.0500  0.250
