# Stripe 82 selection function from McGreer et al. (2013)
# corrected for cosmology in M1450
# corrected for photometric and spectroscopic incompleteness
# Tile dz and dmag set using tiling.py with z_tolerance = 0.0100 and mag_tolerance = 0.0010; see unique values at end of file.
# Tile sizes are non-uniform only a low redshift due to host-galaxy correction.
# counter   z   M1450   p   dz   dmag 
  117  4.625  -27.48  0.47500  0.0500  0.100
  118  4.625  -27.38  0.53200  0.0500  0.100
  119  4.625  -27.28  0.50825  0.0500  0.100
  120  4.625  -27.18  0.53675  0.0500  0.100
  121  4.625  -27.08  0.46550  0.0500  0.100
  122  4.625  -26.98  0.46075  0.0500  0.100
  123  4.625  -26.88  0.53200  0.0500  0.100
  124  4.625  -26.78  0.53200  0.0500  0.100
  125  4.625  -26.68  0.51775  0.0500  0.100
  126  4.625  -26.58  0.46075  0.0500  0.100
  127  4.625  -26.48  0.52250  0.0500  0.100
  128  4.625  -26.38  0.52250  0.0500  0.100
  129  4.625  -26.28  0.47025  0.0500  0.100
  130  4.625  -26.18  0.51300  0.0500  0.100
  131  4.625  -26.08  0.49400  0.0500  0.100
  132  4.625  -25.98  0.49875  0.0500  0.100
  133  4.625  -25.88  0.42875  0.0500  0.100
  134  4.625  -25.78  0.42694  0.0500  0.100
  135  4.625  -25.68  0.39191  0.0500  0.100
  136  4.625  -25.58  0.38886  0.0500  0.100
  137  4.625  -25.48  0.40416  0.0500  0.100
  138  4.625  -25.38  0.40494  0.0500  0.100
  139  4.625  -25.28  0.44069  0.0500  0.100
  140  4.625  -25.18  0.39298  0.0500  0.100
  141  4.625  -25.08  0.43326  0.0500  0.100
  142  4.625  -24.98  0.38801  0.0500  0.100
  143  4.625  -24.88  0.40096  0.0500  0.100
  144  4.625  -24.78  0.37873  0.0500  0.100
  145  4.625  -24.68  0.42541  0.0500  0.100
  146  4.625  -24.58  0.36036  0.0500  0.100
  147  4.625  -24.48  0.32314  0.0500  0.100
  148  4.625  -24.38  0.33707  0.0500  0.100
  149  4.625  -24.28  0.34405  0.0500  0.100
  150  4.625  -24.18  0.26328  0.0500  0.100
  151  4.625  -24.08  0.24038  0.0500  0.100
  152  4.625  -23.98  0.15735  0.0500  0.100
  153  4.625  -23.88  0.06537  0.0500  0.100
  154  4.625  -23.78  0.00859  0.0500  0.100
  155  4.625  -23.68  0.00000  0.0500  0.100
  156  4.625  -23.58  0.00000  0.0500  0.100
  157  4.625  -23.48  0.00000  0.0500  0.100
  158  4.625  -23.38  0.00000  0.0500  0.100
  159  4.625  -23.28  0.00000  0.0500  0.100
  160  4.675  -28.48  0.78375  0.0500  0.100
  161  4.675  -28.38  0.81700  0.0500  0.100
  162  4.675  -28.28  0.81700  0.0500  0.100
  163  4.675  -28.18  0.83600  0.0500  0.100
  164  4.675  -28.08  0.83125  0.0500  0.100
  165  4.675  -27.98  0.77900  0.0500  0.100
  166  4.675  -27.88  0.78850  0.0500  0.100
  167  4.675  -27.78  0.77900  0.0500  0.100
  168  4.675  -27.68  0.76475  0.0500  0.100
  169  4.675  -27.58  0.82175  0.0500  0.100
  170  4.675  -27.48  0.81700  0.0500  0.100
