# SDSS selection function for color-selected z<2.4 QSOs (Richards et al. 2006)
# selection function corrected for photometric incompleteness (5%) and patched (NaN values set to zero,
# imag=19.1 tile patched with imag=19.0 tile to avoid zero selection probability at magnitude limit)
# selection functions for radio-selected targets and extended targets virtually identical
# M1450 computed with imag corrected for host galaxy light (Croom et al. 2009, MNRAS, 392, 19) and Beta's SED
# Croom et al.: host galaxy contribution significant and model-dependent at z<0.4 -> take z<0.4 data with caution
# Tile dz and dmag set using tiling.py with z_tolerance = 0.0100 and mag_tolerance = 0.0010; see unique values at end of file.
# Tile sizes are non-uniform only at low redshift due to host-galaxy correction.
# counter  z    M1450  p   dz   dmag  
  111  0.150  -22.48  0.95000  0.0500  0.100
  112  0.150  -22.38  0.95000  0.0500  0.100
  113  0.150  -22.28  0.95000  0.0500  0.100
  114  0.150  -22.18  0.95000  0.0500  0.100
  115  0.150  -22.08  0.95000  0.0500  0.100
  116  0.150  -21.98  0.95000  0.0500  0.100
  117  0.150  -21.88  0.95000  0.0500  0.100
  118  0.150  -21.78  0.95000  0.0500  0.100
  119  0.150  -21.68  0.95000  0.0500  0.100
  120  0.150  -21.58  0.95000  0.0500  0.100
  121  0.150  -21.48  0.95000  0.0500  0.100
  122  0.150  -21.38  0.95000  0.0500  0.100
  123  0.150  -21.28  0.95000  0.0500  0.100
  124  0.150  -21.18  0.95000  0.0500  0.100
  125  0.150  -21.08  0.95000  0.0500  0.105
  126  0.150  -20.97  0.95000  0.0500  0.105
  127  0.150  -20.87  0.95000  0.0500  0.100
  128  0.150  -20.77  0.95000  0.0500  0.180
  129  0.150  -20.51  0.95000  0.0500  0.180
  130  0.150  -20.41  0.95000  0.0500  0.175
  131  0.150  -20.16  0.95000  0.0500  0.175
  132  0.150  -20.06  0.95000  0.0500  0.100
  133  0.150  -19.96  0.95000  0.0500  0.180
  134  0.150  -19.70  0.95000  0.0500  0.180
  135  0.150  -19.60  0.95000  0.0500  0.180
  136  0.150  -19.34  0.95000  0.0500  0.180
  137  0.150  -19.24  0.95000  0.0500  0.100
  138  0.150  -19.14  0.95000  0.0500  0.185
  139  0.150  -18.87  0.95000  0.0500  0.185
  140  0.150  -18.77  0.95000  0.0500  0.190
  141  0.150  -18.49  0.95000  0.0500  0.190
  142  0.150  -18.39  0.95000  0.0500  0.100
  143  0.150  -18.29  0.95000  0.0500  0.160
  144  0.150  -18.07  0.95000  0.0500  0.160
  145  0.150  -17.97  0.95000  0.0500  0.175
  146  0.150  -17.72  0.95000  0.0500  0.175
  147  0.150  -17.62  0.95000  0.0500  0.100
  148  0.150  -17.52  0.95000  0.0500  0.175
  149  0.150  -17.27  0.00000  0.0500  0.175
  150  0.150  -17.17  0.00000  0.0500  0.170
  151  0.150  -16.93  0.00000  0.0500  0.170
  152  0.150  -16.83  0.00000  0.0500  0.100
  153  0.150  -16.73  0.00000  0.0500  0.190
  154  0.150  -16.45  0.00000  0.0500  0.190
  155  0.150  -16.35  0.00000  0.0500  0.190
  156  0.150  -16.07  0.00000  0.0500  0.190
  157  0.150  -15.97  0.00000  0.0500  0.100
  158  0.150  -15.87  0.00000  0.0500  0.195
  159  0.150  -15.58  0.00000  0.0500  0.290
  160  0.200  -23.61  0.95000  0.0500  0.100
  161  0.200  -23.51  0.95000  0.0500  0.100
  162  0.200  -23.41  0.95000  0.0500  0.100
  163  0.200  -23.31  0.95000  0.0500  0.100
  164  0.200  -23.21  0.95000  0.0500  0.100
  165  0.200  -23.11  0.95000  0.0500  0.100
  166  0.200  -23.01  0.95000  0.0500  0.100
  167  0.200  -22.91  0.95000  0.0500  0.100
  168  0.200  -22.81  0.95000  0.0500  0.100
  169  0.200  -22.71  0.95000  0.0500  0.100
  170  0.200  -22.61  0.95000  0.0500  0.100
  171  0.200  -22.51  0.95000  0.0500  0.100
  172  0.200  -22.41  0.95000  0.0500  0.100
  173  0.200  -22.31  0.95000  0.0500  0.100
  174  0.200  -22.21  0.95000  0.0500  0.100
  175  0.200  -22.11  0.95000  0.0500  0.100
  176  0.200  -22.01  0.95000  0.0500  0.100
  177  0.200  -21.91  0.95000  0.0500  0.100
  178  0.200  -21.81  0.95000  0.0500  0.100
  179  0.200  -21.71  0.95000  0.0500  0.100
  180  0.200  -21.61  0.95000  0.0500  0.100
  181  0.200  -21.51  0.95000  0.0500  0.180
  182  0.200  -21.25  0.95000  0.0500  0.180
  183  0.200  -21.15  0.95000  0.0500  0.180
  184  0.200  -20.89  0.95000  0.0500  0.180
  185  0.200  -20.79  0.95000  0.0500  0.100
  186  0.200  -20.69  0.95000  0.0500  0.180
  187  0.200  -20.43  0.95000  0.0500  0.180
  188  0.200  -20.33  0.95000  0.0500  0.180
  189  0.200  -20.07  0.95000  0.0500  0.180
  190  0.200  -19.97  0.95000  0.0500  0.100
  191  0.200  -19.87  0.95000  0.0500  0.180
  192  0.200  -19.61  0.95000  0.0500  0.180
  193  0.200  -19.51  0.95000  0.0500  0.190
  194  0.200  -19.23  0.95000  0.0500  0.190
  195  0.200  -19.13  0.95000  0.0500  0.100
  196  0.200  -19.03  0.95000  0.0500  0.160
  197  0.200  -18.81  0.95000  0.0500  0.160
  198  0.200  -18.71  0.95000  0.0500  0.175
  199  0.200  -18.46  0.95000  0.0500  0.175
  200  0.200  -18.36  0.95000  0.0500  0.100
  201  0.200  -18.26  0.95000  0.0500  0.180
  202  0.200  -18.00  0.00000  0.0500  0.180
  203  0.200  -17.90  0.00000  0.0500  0.165
  204  0.200  -17.67  0.00000  0.0500  0.165
  205  0.200  -17.57  0.00000  0.0500  0.100
  206  0.200  -17.47  0.00000  0.0500  0.195
  207  0.200  -17.18  0.00000  0.0500  0.195
  208  0.200  -17.08  0.00000  0.0500  0.190
  209  0.200  -16.80  0.00000  0.0500  0.190
  210  0.200  -16.70  0.00000  0.0500  0.100
  211  0.200  -16.60  0.00000  0.0500  0.195
  212  0.200  -16.31  0.00000  0.0500  0.290
  213  0.250  -24.28  0.95000  0.0500  0.100
  214  0.250  -24.18  0.95000  0.0500  0.100
  215  0.250  -24.08  0.95000  0.0500  0.100
  216  0.250  -23.98  0.95000  0.0500  0.100
  217  0.250  -23.88  0.95000  0.0500  0.100
  218  0.250  -23.78  0.95000  0.0500  0.100
  219  0.250  -23.68  0.95000  0.0500  0.100
  220  0.250  -23.58  0.95000  0.0500  0.100
  221  0.250  -23.48  0.95000  0.0500  0.100
  222  0.250  -23.38  0.95000  0.0500  0.100
  223  0.250  -23.28  0.95000  0.0500  0.100
  224  0.250  -23.18  0.95000  0.0500  0.100
  225  0.250  -23.08  0.95000  0.0500  0.100
  226  0.250  -22.98  0.95000  0.0500  0.100
  227  0.250  -22.88  0.95000  0.0500  0.100
  228  0.250  -22.78  0.95000  0.0500  0.100
  229  0.250  -22.68  0.95000  0.0500  0.100
  230  0.250  -22.58  0.95000  0.0500  0.100
  231  0.250  -22.48  0.95000  0.0500  0.100
  232  0.250  -22.38  0.95000  0.0500  0.100
  233  0.250  -22.28  0.95000  0.0500  0.100
  234  0.250  -22.18  0.95000  0.0500  0.100
  235  0.250  -22.08  0.95000  0.0500  0.100
  236  0.250  -21.98  0.95000  0.0500  0.135
  237  0.250  -21.81  0.95000  0.0500  0.135
  238  0.250  -21.71  0.95000  0.0500  0.100
  239  0.250  -21.61  0.95000  0.0500  0.175
  240  0.250  -21.36  0.95000  0.0500  0.175
  241  0.250  -21.26  0.95000  0.0500  0.170
  242  0.250  -21.02  0.95000  0.0500  0.170
  243  0.250  -20.92  0.95000  0.0500  0.100
  244  0.250  -20.82  0.95000  0.0500  0.185
  245  0.250  -20.55  0.95000  0.0500  0.185
  246  0.250  -20.45  0.95000  0.0500  0.170
  247  0.250  -20.21  0.95000  0.0500  0.170
  248  0.250  -20.11  0.95000  0.0500  0.100
  249  0.250  -20.01  0.95000  0.0500  0.150
  250  0.250  -19.81  0.95000  0.0500  0.150
  251  0.250  -19.71  0.95000  0.0500  0.170
  252  0.250  -19.47  0.95000  0.0500  0.170
  253  0.250  -19.37  0.95000  0.0500  0.100
  254  0.250  -19.27  0.95000  0.0500  0.170
  255  0.250  -19.03  0.00000  0.0500  0.170
  256  0.250  -18.93  0.00000  0.0500  0.160
  257  0.250  -18.71  0.00000  0.0500  0.160
  258  0.250  -18.61  0.00000  0.0500  0.100
  259  0.250  -18.51  0.00000  0.0500  0.195
  260  0.250  -18.22  0.00000  0.0500  0.195
  261  0.250  -18.12  0.00000  0.0500  0.175
  262  0.250  -17.87  0.00000  0.0500  0.175
  263  0.250  -17.77  0.00000  0.0500  0.100
  264  0.250  -17.67  0.00000  0.0500  0.185
  265  0.250  -17.40  0.00000  0.0500  0.270
  266  0.300  -24.84  0.95000  0.0500  0.100
  267  0.300  -24.74  0.95000  0.0500  0.100
  268  0.300  -24.64  0.95000  0.0500  0.100
  269  0.300  -24.54  0.95000  0.0500  0.100
  270  0.300  -24.44  0.95000  0.0500  0.100
  271  0.300  -24.34  0.95000  0.0500  0.100
  272  0.300  -24.24  0.95000  0.0500  0.100
  273  0.300  -24.14  0.95000  0.0500  0.100
  274  0.300  -24.04  0.95000  0.0500  0.100
  275  0.300  -23.94  0.95000  0.0500  0.100
  276  0.300  -23.84  0.95000  0.0500  0.100
  277  0.300  -23.74  0.95000  0.0500  0.100
  278  0.300  -23.64  0.95000  0.0500  0.100
  279  0.300  -23.54  0.95000  0.0500  0.100
  280  0.300  -23.44  0.95000  0.0500  0.100
  281  0.300  -23.34  0.95000  0.0500  0.100
  282  0.300  -23.24  0.95000  0.0500  0.100
  283  0.300  -23.14  0.95000  0.0500  0.100
  284  0.300  -23.04  0.95000  0.0500  0.100
  285  0.300  -22.94  0.95000  0.0500  0.100
  286  0.300  -22.84  0.95000  0.0500  0.100
  287  0.300  -22.74  0.95000  0.0500  0.100
  288  0.300  -22.64  0.95000  0.0500  0.100
  289  0.300  -22.54  0.95000  0.0500  0.100
  290  0.300  -22.44  0.95000  0.0500  0.100
  291  0.300  -22.34  0.95000  0.0500  0.100
  292  0.300  -22.24  0.95000  0.0500  0.160
  293  0.300  -22.02  0.95000  0.0500  0.160
  294  0.300  -21.92  0.95000  0.0500  0.160
  295  0.300  -21.70  0.95000  0.0500  0.160
  296  0.300  -21.60  0.95000  0.0500  0.100
  297  0.300  -21.50  0.95000  0.0500  0.185
  298  0.300  -21.23  0.95000  0.0500  0.185
  299  0.300  -21.13  0.95000  0.0500  0.155
  300  0.300  -20.92  0.95000  0.0500  0.155
  301  0.300  -20.82  0.95000  0.0500  0.100
  302  0.300  -20.72  0.95000  0.0500  0.145
  303  0.300  -20.53  0.95000  0.0500  0.145
  304  0.300  -20.43  0.95000  0.0500  0.155
  305  0.300  -20.22  0.95000  0.0500  0.155
  306  0.300  -20.12  0.95000  0.0500  0.100
  307  0.300  -20.02  0.95000  0.0500  0.145
  308  0.300  -19.83  0.00000  0.0500  0.145
  309  0.300  -19.73  0.00000  0.0500  0.175
  310  0.300  -19.48  0.00000  0.0500  0.175
  311  0.300  -19.38  0.00000  0.0500  0.100
  312  0.300  -19.28  0.00000  0.0500  0.170
  313  0.300  -19.04  0.00000  0.0500  0.170
  314  0.300  -18.94  0.00000  0.0500  0.180
  315  0.300  -18.68  0.00000  0.0500  0.180
  316  0.300  -18.58  0.00000  0.0500  0.100
  317  0.300  -18.48  0.00000  0.0500  0.180
  318  0.300  -18.22  0.00000  0.0500  0.260
  319  0.350  -25.24  0.95000  0.0500  0.100
  320  0.350  -25.14  0.95000  0.0500  0.100
  321  0.350  -25.04  0.95000  0.0500  0.100
  322  0.350  -24.94  0.95000  0.0500  0.100
  323  0.350  -24.84  0.95000  0.0500  0.100
  324  0.350  -24.74  0.95000  0.0500  0.100
  325  0.350  -24.64  0.95000  0.0500  0.100
  326  0.350  -24.54  0.95000  0.0500  0.100
  327  0.350  -24.44  0.95000  0.0500  0.100
  328  0.350  -24.34  0.95000  0.0500  0.100
  329  0.350  -24.24  0.95000  0.0500  0.100
  330  0.350  -24.14  0.95000  0.0500  0.100
  331  0.350  -24.04  0.95000  0.0500  0.100
  332  0.350  -23.94  0.95000  0.0500  0.100
  333  0.350  -23.84  0.95000  0.0500  0.100
  334  0.350  -23.74  0.95000  0.0500  0.100
  335  0.350  -23.64  0.95000  0.0500  0.100
  336  0.350  -23.54  0.95000  0.0500  0.100
  337  0.350  -23.44  0.95000  0.0500  0.100
  338  0.350  -23.34  0.95000  0.0500  0.100
  339  0.350  -23.24  0.95000  0.0500  0.100
  340  0.350  -23.14  0.95000  0.0500  0.100
  341  0.350  -23.04  0.95000  0.0500  0.100
  342  0.350  -22.94  0.95000  0.0500  0.100
  343  0.350  -22.84  0.95000  0.0500  0.100
  344  0.350  -22.74  0.95000  0.0500  0.100
  345  0.350  -22.64  0.95000  0.0500  0.125
  346  0.350  -22.49  0.95000  0.0500  0.125
  347  0.350  -22.39  0.95000  0.0500  0.150
  348  0.350  -22.19  0.95000  0.0500  0.150
  349  0.350  -22.09  0.95000  0.0500  0.100
  350  0.350  -21.99  0.95000  0.0500  0.180
  351  0.350  -21.73  0.95000  0.0500  0.180
  352  0.350  -21.63  0.95000  0.0500  0.130
  353  0.350  -21.47  0.95000  0.0500  0.130
  354  0.350  -21.37  0.95000  0.0500  0.100
  355  0.350  -21.27  0.95000  0.0500  0.145
  356  0.350  -21.08  0.95000  0.0500  0.145
  357  0.350  -20.98  0.95000  0.0500  0.135
  358  0.350  -20.81  0.95000  0.0500  0.135
  359  0.350  -20.71  0.95000  0.0500  0.100
  360  0.350  -20.61  0.95000  0.0500  0.145
  361  0.350  -20.42  0.00000  0.0500  0.145
  362  0.350  -20.32  0.00000  0.0500  0.165
  363  0.350  -20.09  0.00000  0.0500  0.165
  364  0.350  -19.99  0.00000  0.0500  0.100
  365  0.350  -19.89  0.00000  0.0500  0.160
  366  0.350  -19.67  0.00000  0.0500  0.160
  367  0.350  -19.57  0.00000  0.0500  0.160
  368  0.350  -19.35  0.00000  0.0500  0.160
  369  0.350  -19.25  0.00000  0.0500  0.100
  370  0.350  -19.15  0.00000  0.0500  0.180
  371  0.350  -18.89  0.00000  0.0500  0.260
  372  0.400  -25.56  0.95000  0.0500  0.100
  373  0.400  -25.46  0.95000  0.0500  0.100
  374  0.400  -25.36  0.95000  0.0500  0.100
  375  0.400  -25.26  0.95000  0.0500  0.100
  376  0.400  -25.16  0.95000  0.0500  0.100
  377  0.400  -25.06  0.95000  0.0500  0.100
  378  0.400  -24.96  0.95000  0.0500  0.100
  379  0.400  -24.86  0.95000  0.0500  0.100
  380  0.400  -24.76  0.95000  0.0500  0.100
  381  0.400  -24.66  0.95000  0.0500  0.100
  382  0.400  -24.56  0.95000  0.0500  0.100
  383  0.400  -24.46  0.95000  0.0500  0.100
  384  0.400  -24.36  0.95000  0.0500  0.100
  385  0.400  -24.26  0.95000  0.0500  0.100
  386  0.400  -24.16  0.95000  0.0500  0.100
  387  0.400  -24.06  0.95000  0.0500  0.100
  388  0.400  -23.96  0.95000  0.0500  0.100
  389  0.400  -23.86  0.95000  0.0500  0.100
  390  0.400  -23.76  0.95000  0.0500  0.100
  391  0.400  -23.66  0.95000  0.0500  0.100
  392  0.400  -23.56  0.95000  0.0500  0.100
  393  0.400  -23.46  0.95000  0.0500  0.100
  394  0.400  -23.36  0.95000  0.0500  0.100
  395  0.400  -23.26  0.95000  0.0500  0.100
  396  0.400  -23.16  0.95000  0.0500  0.100
  397  0.400  -23.06  0.95000  0.0500  0.100
  398  0.400  -22.96  0.95000  0.0500  0.100
  399  0.400  -22.86  0.95000  0.0500  0.100
  400  0.400  -22.76  0.95000  0.0500  0.140
  401  0.400  -22.58  0.95000  0.0500  0.140
  402  0.400  -22.48  0.95000  0.0500  0.100
  403  0.400  -22.38  0.95000  0.0500  0.170
  404  0.400  -22.14  0.95000  0.0500  0.170
  405  0.400  -22.04  0.95000  0.0500  0.125
  406  0.400  -21.89  0.95000  0.0500  0.125
  407  0.400  -21.79  0.95000  0.0500  0.100
  408  0.400  -21.69  0.95000  0.0500  0.125
  409  0.400  -21.54  0.95000  0.0500  0.125
  410  0.400  -21.44  0.95000  0.0500  0.135
  411  0.400  -21.27  0.95000  0.0500  0.135
