# Willott et al. (2010) selection function for CFHQS Deep Survey (4.47deg2)
# corrected for cosmology in M1450
# Tile dz and dmag set using tiling.py with z_tolerance = 0.0100 and mag_tolerance = 0.0010; see unique values at end of file.
# Tile sizes are non-uniform only at low redshift due to host-galaxy correction.
# counter   z   M1450   p   dz   dmag
  118  5.725  -25.30  0.03440  0.0250  0.100
  119  5.725  -25.20  0.03470  0.0250  0.100
  120  5.725  -25.10  0.03520  0.0250  0.100
  121  5.725  -25.00  0.03620  0.0250  0.100
  122  5.725  -24.90  0.03750  0.0250  0.100
  123  5.725  -24.80  0.03840  0.0250  0.100
  124  5.725  -24.70  0.03870  0.0250  0.100
  125  5.725  -24.60  0.03910  0.0250  0.100
  126  5.725  -24.50  0.04060  0.0250  0.100
  127  5.725  -24.40  0.04280  0.0250  0.100
  128  5.725  -24.30  0.04440  0.0250  0.100
  129  5.725  -24.20  0.04460  0.0250  0.100
  130  5.725  -24.10  0.04400  0.0250  0.100
  131  5.725  -24.00  0.04340  0.0250  0.100
  132  5.725  -23.90  0.04320  0.0250  0.100
  133  5.725  -23.80  0.04360  0.0250  0.100
  134  5.725  -23.70  0.04450  0.0250  0.100
  135  5.725  -23.60  0.04550  0.0250  0.100
  136  5.725  -23.50  0.04570  0.0250  0.100
  137  5.725  -23.40  0.04530  0.0250  0.100
  138  5.725  -23.30  0.04450  0.0250  0.100
  139  5.725  -23.20  0.04360  0.0250  0.100
  140  5.725  -23.10  0.04260  0.0250  0.100
  141  5.725  -23.00  0.04130  0.0250  0.100
  142  5.725  -22.90  0.04040  0.0250  0.100
  143  5.725  -22.80  0.04160  0.0250  0.100
  144  5.725  -22.70  0.04490  0.0250  0.100
  145  5.725  -22.60  0.04740  0.0250  0.100
  146  5.725  -22.50  0.04580  0.0250  0.100
  147  5.725  -22.40  0.04090  0.0250  0.100
  148  5.725  -22.30  0.03690  0.0250  0.100
  149  5.725  -22.20  0.03550  0.0250  0.100
  150  5.725  -22.10  0.03420  0.0250  0.100
  151  5.725  -22.00  0.02780  0.0250  0.100
  152  5.725  -21.90  0.01640  0.0250  0.100
  153  5.725  -21.80  0.00000  0.0250  0.100
  154  5.725  -21.70  0.00000  0.0250  0.100
  155  5.725  -21.60  0.00000  0.0250  0.100
  156  5.725  -21.50  0.00000  0.0250  0.100
  157  5.725  -21.40  0.00000  0.0250  0.100
  158  5.725  -21.30  0.00000  0.0250  0.100
  159  5.725  -21.20  0.00000  0.0250  0.100
  160  5.725  -21.10  0.00000  0.0250  0.100
  161  5.750  -29.00  0.06680  0.0250  0.100
  162  5.750  -28.90  0.06990  0.0250  0.100
  163  5.750  -28.80  0.06990  0.0250  0.100
  164  5.750  -28.70  0.06990  0.0250  0.100
  165  5.750  -28.60  0.06990  0.0250  0.100
  166  5.750  -28.50  0.06990  0.0250  0.100
  167  5.750  -28.40  0.06990  0.0250  0.100
  168  5.750  -28.30  0.06990  0.0250  0.100
  169  5.750  -28.20  0.06990  0.0250  0.100
  170  5.750  -28.10  0.06990  0.0250  0.100
  171  5.750  -28.00  0.06990  0.0250  0.100
  172  5.750  -27.90  0.06990  0.0250  0.100
  173  5.750  -27.80  0.06990  0.0250  0.100
  174  5.750  -27.70  0.06990  0.0250  0.100
  175  5.750  -27.60  0.06990  0.0250  0.100
  176  5.750  -27.50  0.06990  0.0250  0.100
  177  5.750  -27.40  0.06990  0.0250  0.100
  178  5.750  -27.30  0.06990  0.0250  0.100
  179  5.750  -27.20  0.06990  0.0250  0.100
  180  5.750  -27.10  0.06990  0.0250  0.100
  181  5.750  -27.00  0.06990  0.0250  0.100
  182  5.750  -26.90  0.06990  0.0250  0.100
  183  5.750  -26.80  0.06990  0.0250  0.100
  184  5.750  -26.70  0.06990  0.0250  0.100
  185  5.750  -26.60  0.06990  0.0250  0.100
  186  5.750  -26.50  0.06990  0.0250  0.100
  187  5.750  -26.40  0.06990  0.0250  0.100
  188  5.750  -26.30  0.06990  0.0250  0.100
  189  5.750  -26.20  0.06990  0.0250  0.100
  190  5.750  -26.10  0.06990  0.0250  0.100
  191  5.750  -26.00  0.06990  0.0250  0.100
  192  5.750  -25.90  0.06990  0.0250  0.100
  193  5.750  -25.80  0.06990  0.0250  0.100
  194  5.750  -25.70  0.06990  0.0250  0.100
  195  5.750  -25.60  0.06990  0.0250  0.100
  196  5.750  -25.50  0.06980  0.0250  0.100
  197  5.750  -25.40  0.06970  0.0250  0.100
  198  5.750  -25.30  0.06960  0.0250  0.100
  199  5.750  -25.20  0.06950  0.0250  0.100
  200  5.750  -25.10  0.06980  0.0250  0.100
  201  5.750  -25.00  0.07080  0.0250  0.100
  202  5.750  -24.90  0.07270  0.0250  0.100
  203  5.750  -24.80  0.07540  0.0250  0.100
  204  5.750  -24.70  0.07850  0.0250  0.100
  205  5.750  -24.60  0.08170  0.0250  0.100
  206  5.750  -24.50  0.08440  0.0250  0.100
  207  5.750  -24.40  0.08610  0.0250  0.100
  208  5.750  -24.30  0.08630  0.0250  0.100
  209  5.750  -24.20  0.08500  0.0250  0.100
  210  5.750  -24.10  0.08360  0.0250  0.100
  211  5.750  -24.00  0.08370  0.0250  0.100
  212  5.750  -23.90  0.08540  0.0250  0.100
  213  5.750  -23.80  0.08750  0.0250  0.100
  214  5.750  -23.70  0.08910  0.0250  0.100
  215  5.750  -23.60  0.09010  0.0250  0.100
  216  5.750  -23.50  0.09050  0.0250  0.100
  217  5.750  -23.40  0.09000  0.0250  0.100
  218  5.750  -23.30  0.08820  0.0250  0.100
  219  5.750  -23.20  0.08510  0.0250  0.100
  220  5.750  -23.10  0.08170  0.0250  0.100
  221  5.750  -23.00  0.07920  0.0250  0.100
  222  5.750  -22.90  0.07850  0.0250  0.100
  223  5.750  -22.80  0.08010  0.0250  0.100
  224  5.750  -22.70  0.08340  0.0250  0.100
  225  5.750  -22.60  0.08520  0.0250  0.100
  226  5.750  -22.50  0.08180  0.0250  0.100
  227  5.750  -22.40  0.07430  0.0250  0.100
  228  5.750  -22.30  0.06800  0.0250  0.100
  229  5.750  -22.20  0.06470  0.0250  0.100
  230  5.750  -22.10  0.06070  0.0250  0.100
  231  5.750  -22.00  0.04880  0.0250  0.100
  232  5.750  -21.90  0.02950  0.0250  0.100
  233  5.750  -21.80  0.01370  0.0250  0.100
  234  5.750  -21.70  0.00000  0.0250  0.100
  235  5.750  -21.60  0.00000  0.0250  0.100
  236  5.750  -21.50  0.00000  0.0250  0.100
  237  5.750  -21.40  0.00000  0.0250  0.100
  238  5.750  -21.30  0.00000  0.0250  0.100
  239  5.750  -21.20  0.00000  0.0250  0.100
  240  5.750  -21.10  0.00000  0.0250  0.100
  241  5.775  -29.00  0.13210  0.0250  0.100
  242  5.775  -28.90  0.13770  0.0250  0.100
  243  5.775  -28.80  0.13770  0.0250  0.100
  244  5.775  -28.70  0.13770  0.0250  0.100
  245  5.775  -28.60  0.13770  0.0250  0.100
  246  5.775  -28.50  0.13770  0.0250  0.100
  247  5.775  -28.40  0.13770  0.0250  0.100
  248  5.775  -28.30  0.13770  0.0250  0.100
  249  5.775  -28.20  0.13770  0.0250  0.100
  250  5.775  -28.10  0.13770  0.0250  0.100
  251  5.775  -28.00  0.13770  0.0250  0.100
  252  5.775  -27.90  0.13770  0.0250  0.100
  253  5.775  -27.80  0.13770  0.0250  0.100
  254  5.775  -27.70  0.13770  0.0250  0.100
  255  5.775  -27.60  0.13770  0.0250  0.100
  256  5.775  -27.50  0.13770  0.0250  0.100
  257  5.775  -27.40  0.13770  0.0250  0.100
  258  5.775  -27.30  0.13770  0.0250  0.100
  259  5.775  -27.20  0.13770  0.0250  0.100
  260  5.775  -27.10  0.13770  0.0250  0.100
  261  5.775  -27.00  0.13770  0.0250  0.100
  262  5.775  -26.90  0.13770  0.0250  0.100
  263  5.775  -26.80  0.13770  0.0250  0.100
  264  5.775  -26.70  0.13770  0.0250  0.100
  265  5.775  -26.60  0.13770  0.0250  0.100
  266  5.775  -26.50  0.13770  0.0250  0.100
  267  5.775  -26.40  0.13770  0.0250  0.100
  268  5.775  -26.30  0.13770  0.0250  0.100
  269  5.775  -26.20  0.13770  0.0250  0.100
  270  5.775  -26.10  0.13770  0.0250  0.100
  271  5.775  -26.00  0.13770  0.0250  0.100
  272  5.775  -25.90  0.13770  0.0250  0.100
  273  5.775  -25.80  0.13770  0.0250  0.100
  274  5.775  -25.70  0.13770  0.0250  0.100
  275  5.775  -25.60  0.13780  0.0250  0.100
  276  5.775  -25.50  0.13790  0.0250  0.100
  277  5.775  -25.40  0.13820  0.0250  0.100
  278  5.775  -25.30  0.13890  0.0250  0.100
  279  5.775  -25.20  0.13980  0.0250  0.100
  280  5.775  -25.10  0.14080  0.0250  0.100
  281  5.775  -25.00  0.14190  0.0250  0.100
  282  5.775  -24.90  0.14340  0.0250  0.100
  283  5.775  -24.80  0.14640  0.0250  0.100
  284  5.775  -24.70  0.15100  0.0250  0.100
  285  5.775  -24.60  0.15590  0.0250  0.100
  286  5.775  -24.50  0.15920  0.0250  0.100
  287  5.775  -24.40  0.16040  0.0250  0.100
  288  5.775  -24.30  0.15990  0.0250  0.100
  289  5.775  -24.20  0.15850  0.0250  0.100
  290  5.775  -24.10  0.15740  0.0250  0.100
  291  5.775  -24.00  0.15780  0.0250  0.100
  292  5.775  -23.90  0.15970  0.0250  0.100
  293  5.775  -23.80  0.16180  0.0250  0.100
  294  5.775  -23.70  0.16350  0.0250  0.100
  295  5.775  -23.60  0.16480  0.0250  0.100
  296  5.775  -23.50  0.16620  0.0250  0.100
  297  5.775  -23.40  0.16710  0.0250  0.100
  298  5.775  -23.30  0.16580  0.0250  0.100
  299  5.775  -23.20  0.16170  0.0250  0.100
  300  5.775  -23.10  0.15610  0.0250  0.100
  301  5.775  -23.00  0.15120  0.0250  0.100
  302  5.775  -22.90  0.14850  0.0250  0.100
  303  5.775  -22.80  0.14930  0.0250  0.100
  304  5.775  -22.70  0.15290  0.0250  0.100
  305  5.775  -22.60  0.15510  0.0250  0.100
  306  5.775  -22.50  0.15090  0.0250  0.100
  307  5.775  -22.40  0.14180  0.0250  0.100
  308  5.775  -22.30  0.13210  0.0250  0.100
  309  5.775  -22.20  0.12410  0.0250  0.100
  310  5.775  -22.10  0.11340  0.0250  0.100
  311  5.775  -22.00  0.08930  0.0250  0.100
  312  5.775  -21.90  0.05580  0.0250  0.100
  313  5.775  -21.80  0.02700  0.0250  0.100
  314  5.775  -21.70  0.01230  0.0250  0.100
  315  5.775  -21.60  0.00000  0.0250  0.100
  316  5.775  -21.50  0.00000  0.0250  0.100
  317  5.775  -21.40  0.00000  0.0250  0.100
  318  5.775  -21.30  0.00000  0.0250  0.100
  319  5.775  -21.20  0.00000  0.0250  0.100
  320  5.775  -21.10  0.00000  0.0250  0.100
  321  5.800  -29.00  0.22370  0.0250  0.100
  322  5.800  -28.90  0.22970  0.0250  0.100
  323  5.800  -28.80  0.22970  0.0250  0.100
  324  5.800  -28.70  0.22970  0.0250  0.100
  325  5.800  -28.60  0.22970  0.0250  0.100
  326  5.800  -28.50  0.22970  0.0250  0.100
  327  5.800  -28.40  0.22970  0.0250  0.100
  328  5.800  -28.30  0.22970  0.0250  0.100
  329  5.800  -28.20  0.22970  0.0250  0.100
  330  5.800  -28.10  0.22970  0.0250  0.100
  331  5.800  -28.00  0.22970  0.0250  0.100
  332  5.800  -27.90  0.22970  0.0250  0.100
  333  5.800  -27.80  0.22970  0.0250  0.100
  334  5.800  -27.70  0.22970  0.0250  0.100
  335  5.800  -27.60  0.22970  0.0250  0.100
  336  5.800  -27.50  0.22970  0.0250  0.100
  337  5.800  -27.40  0.22970  0.0250  0.100
  338  5.800  -27.30  0.22970  0.0250  0.100
  339  5.800  -27.20  0.22970  0.0250  0.100
  340  5.800  -27.10  0.22970  0.0250  0.100
  341  5.800  -27.00  0.22970  0.0250  0.100
  342  5.800  -26.90  0.22970  0.0250  0.100
  343  5.800  -26.80  0.22970  0.0250  0.100
  344  5.800  -26.70  0.22970  0.0250  0.100
  345  5.800  -26.60  0.22970  0.0250  0.100
  346  5.800  -26.50  0.22970  0.0250  0.100
  347  5.800  -26.40  0.22970  0.0250  0.100
  348  5.800  -26.30  0.22970  0.0250  0.100
  349  5.800  -26.20  0.22970  0.0250  0.100
  350  5.800  -26.10  0.22970  0.0250  0.100
  351  5.800  -26.00  0.22970  0.0250  0.100
  352  5.800  -25.90  0.22970  0.0250  0.100
  353  5.800  -25.80  0.22970  0.0250  0.100
  354  5.800  -25.70  0.22970  0.0250  0.100
  355  5.800  -25.60  0.22980  0.0250  0.100
  356  5.800  -25.50  0.22990  0.0250  0.100
  357  5.800  -25.40  0.23010  0.0250  0.100
  358  5.800  -25.30  0.23050  0.0250  0.100
  359  5.800  -25.20  0.23120  0.0250  0.100
  360  5.800  -25.10  0.23230  0.0250  0.100
  361  5.800  -25.00  0.23390  0.0250  0.100
