0.307 0.100 0.400 -5.721 -5.531 -5.618 -21.594 -21.165 -21.371 -3.038 -2.851 -2.939 -1.378 -1.039 -1.220  
0.502 0.400 0.600 -6.164 -6.087 -6.125 -23.076 -22.923 -23.000 -3.453 -3.297 -3.372 -1.397 -1.320 -1.359
0.640 0.600 0.680 -6.551 -6.394 -6.472 -23.907 -23.649 -23.780 -3.768 -3.503 -3.626 -1.690 -1.546 -1.621 
0.881 0.680 1.060 -6.589 -6.546 -6.567 -24.749 -24.677 -24.713 -3.954 -3.827 -3.890 -1.659 -1.630 -1.645 
1.252 1.060 1.440 -6.300 -6.256 -6.279 -25.091 -25.017 -25.055 -3.858 -3.755 -3.806 -1.568 -1.535 -1.552 
1.626 1.440 1.820 -6.434 -6.395 -6.415 -25.673 -25.613 -25.644 -4.143 -4.037 -4.089 -1.645 -1.616 -1.631 
1.987 1.820 2.200 -6.437 -6.381 -6.410 -25.937 -25.849 -25.894 -3.913 -3.796 -3.854 -1.588 -1.547 -1.568 
2.254 2.200 2.300 -6.077 -5.880 -5.978 -25.448 -25.068 -25.263 -3.374 -3.061 -3.212 -1.603 -1.474 -1.541 
2.348 2.300 2.400 -6.358 -6.187 -6.277 -25.772 -25.467 -25.631 -3.551 -3.221 -3.382 -1.683 -1.585 -1.637 
2.446 2.400 2.500 -6.471 -6.319 -6.399 -25.984 -25.721 -25.862 -3.824 -3.400 -3.598 -1.648 -1.553 -1.605 
2.548 2.500 2.600 -6.230 -6.065 -6.148 -25.493 -25.165 -25.336 -3.470 -3.159 -3.309 -1.457 -1.307 -1.385 
2.645 2.600 2.700 -6.032 -5.924 -5.977 -25.277 -25.018 -25.150 -3.244 -3.011 -3.127 -1.124 -0.962 -1.045 
2.746 2.700 2.800 -6.365 -6.214 -6.292 -26.083 -25.795 -25.951 -4.097 -3.515 -3.796 -1.405 -1.270 -1.340 
2.901 2.800 3.000 -6.685 -6.560 -6.628 -26.505 -26.301 -26.411 -4.594 -3.882 -4.213 -1.639 -1.556 -1.600 
3.119 3.000 3.250 -7.108 -6.980 -7.046 -26.899 -26.713 -26.808 -4.938 -4.168 -4.526 -1.896 -1.825 -1.862 
3.333 3.250 3.500 -7.415 -7.166 -7.300 -27.373 -27.000 -27.198 -4.839 -3.621 -4.176 -1.948 -1.824 -1.892 
3.870 3.700 4.100 -7.998 -7.730 -7.874 -27.344 -27.023 -27.197 -4.904 -4.216 -4.537 -2.242 -2.068 -2.162
4.344 4.100 4.700 -8.867 -8.673 -8.769 -27.876 -27.630 -27.750 -5.536 -4.679 -5.077 -2.321 -2.221 -2.273
4.923 4.700 5.500 -9.214 -8.871 -9.059 -28.123 -27.684 -27.920 -5.327 -3.994 -4.616 -2.366 -2.270 -2.322
6.000 5.500 6.500 -12.028 -10.371 -11.202 -31.335 -28.667 -29.954 -6.318 -4.387 -5.194 -2.540 -2.426 -2.486
			
			
