0.495  0.300  0.680  -5.846  -5.794  -5.820  
0.881  0.680  1.060  -6.557  -6.512  -6.536  
1.252  1.060  1.440  -6.262  -6.217  -6.240  
1.626  1.440  1.820  -6.403  -6.363  -6.383  
1.987  1.820  2.200  -6.387  -6.328  -6.358  
2.254  2.200  2.300  -5.937  -5.883  -5.910  
2.348  2.300  2.400  -6.151  -6.092  -6.122  
2.446  2.400  2.500  -6.426  -6.263  -6.351  
2.548  2.500  2.600  -6.208  -6.044  -6.126  
2.645  2.600  2.700  -6.075  -5.963  -6.018  
2.746  2.700  2.800  -6.382  -6.232  -6.309  
2.901  2.800  3.000  -6.661  -6.532  -6.600  
3.119  3.000  3.250  -7.102  -6.978  -7.042  
3.333  3.250  3.500  -7.419  -7.172  -7.301  
3.831  3.500  4.000  -7.928  -7.763  -7.854  
4.196  4.000  4.500  -8.244  -8.017  -8.128  
4.837  4.500  5.500  -9.032  -8.615  -8.832  
6.001  5.500  6.500  -9.870  -8.605  -9.552  
