0.307  0.100  0.400  -5.722  -5.527  -5.613  -21.595  -21.157  -21.361  -3.038  -2.848  -2.937  -1.375  -1.028  -1.207  
0.502  0.400  0.600  -6.163  -6.088  -6.124  -23.074  -22.925  -22.998  -3.450  -3.296  -3.372  -1.397  -1.320  -1.359  
0.717  0.600  0.800  -6.501  -6.334  -6.423  -24.160  -23.889  -24.035  -3.675  -3.440  -3.556  -1.789  -1.701  -1.748  
0.914  0.800  1.000  -6.466  -6.315  -6.392  -24.620  -24.386  -24.507  -3.800  -3.586  -3.693  -1.785  -1.677  -1.734  
1.103  1.000  1.200  -6.561  -6.505  -6.533  -25.185  -25.102  -25.145  -4.260  -4.092  -4.174  -1.748  -1.702  -1.725  
1.302  1.200  1.400  -6.464  -6.386  -6.426  -25.345  -25.230  -25.289  -4.047  -3.889  -3.967  -1.769  -1.705  -1.738  
1.503  1.400  1.600  -6.540  -6.485  -6.513  -25.714  -25.636  -25.676  -4.362  -4.202  -4.283  -1.780  -1.734  -1.757  
1.706  1.600  1.800  -6.323  -6.254  -6.289  -25.615  -25.511  -25.564  -4.045  -3.903  -3.974  -1.632  -1.579  -1.606  
1.977  1.800  2.200  -6.748  -6.691  -6.720  -26.303  -26.224  -26.265  -4.278  -4.133  -4.206  -1.888  -1.851  -1.870  
2.302  2.200  2.400  -6.218  -6.090  -6.155  -25.601  -25.369  -25.488  -3.454  -3.220  -3.333  -1.643  -1.566  -1.605  
2.446  2.400  2.500  -6.471  -6.314  -6.397  -25.984  -25.710  -25.859  -3.821  -3.394  -3.595  -1.649  -1.551  -1.603  
2.548  2.500  2.600  -6.235  -6.063  -6.148  -25.502  -25.159  -25.335  -3.476  -3.153  -3.312  -1.461  -1.302  -1.385  
2.645  2.600  2.700  -6.038  -5.922  -5.980  -25.286  -25.013  -25.153  -3.250  -3.012  -3.128  -1.133  -0.958  -1.052  
2.746  2.700  2.800  -6.366  -6.218  -6.292  -26.085  -25.804  -25.951  -4.088  -3.530  -3.793  -1.404  -1.272  -1.342  
2.850  2.800  2.900  -6.554  -6.345  -6.458  -26.406  -26.009  -26.229  -4.027  -3.261  -3.621  -1.530  -1.382  -1.463  
2.950  2.900  3.000  -6.822  -6.690  -6.761  -26.613  -26.421  -26.525  -5.667  -4.440  -5.035  -1.753  -1.660  -1.709  
3.050  3.000  3.100  -6.845  -6.697  -6.774  -26.588  -26.369  -26.483  -5.230  -4.286  -4.725  -1.750  -1.643  -1.698  
3.148  3.100  3.200  -7.371  -7.092  -7.254  -27.282  -26.871  -27.104  -5.586  -3.624  -4.418  -2.009  -1.886  -1.955  
3.246  3.200  3.300  -7.471  -7.208  -7.336  -27.427  -27.006  -27.196  -5.116  -3.690  -4.372  -1.990  -1.874  -1.935  
3.342  3.300  3.400  -7.742  -7.316  -7.533  -27.740  -27.093  -27.383  -6.259  -3.454  -4.794  -2.149  -1.983  -2.078  
3.442  3.400  3.500  -6.978  -6.582  -6.775  -26.988  -26.245  -26.645  -4.527  -3.096  -3.736  -1.480  -0.969  -1.247  
3.877  3.700  4.100  -8.021  -7.798  -7.915  -27.383  -27.123  -27.262  -5.207  -4.499  -4.843  -2.162  -1.973  -2.074  
4.352  4.100  4.700  -8.579  -8.037  -8.321  -27.678  -27.011  -27.371  -4.685  -3.801  -4.198  -2.335  -2.040  -2.198  
4.922  4.700  5.500  -9.260  -8.736  -9.039  -28.166  -27.532  -27.902  -5.372  -3.863  -4.563  -2.392  -2.199  -2.307  
5.999  5.500  6.500  -11.717  -9.925  -10.642  -30.988  -28.124  -29.175  -6.208  -4.247  -5.003  -2.481  -2.312  -2.404  
