0.495  0.300  0.680  -2.894  -2.809  -2.852  
0.881  0.680  1.060  -3.931  -3.806  -3.868  
1.252  1.060  1.440  -3.821  -3.723  -3.772  
1.626  1.440  1.820  -4.119  -4.014  -4.067  
1.987  1.820  2.200  -3.862  -3.748  -3.805  
2.254  2.200  2.300  -4.800  -4.627  -4.711  
2.348  2.300  2.400  -4.586  -4.396  -4.489  
2.446  2.400  2.500  -3.691  -3.291  -3.484  
2.548  2.500  2.600  -3.391  -3.102  -3.238  
2.645  2.600  2.700  -3.260  -3.013  -3.131  
2.746  2.700  2.800  -4.064  -3.482  -3.753  
2.901  2.800  3.000  -4.500  -3.807  -4.137  
3.119  3.000  3.250  -4.911  -4.158  -4.517  
3.333  3.250  3.500  -4.896  -3.663  -4.221  
3.831  3.500  4.000  -5.259  -4.630  -4.932  
4.196  4.000  4.500  -4.911  -4.271  -4.567  
4.837  4.500  5.500  -4.533  -3.851  -4.165  
6.001  5.500  6.500  -4.911  -2.898  -3.712  
