# Selection function for the Banados qso.  See selfn.pdf how we got
# this.  Produced using selfn_z7.py.
#
# dM = 0.1
# dz = 0.1
# 7.4 < z < 9.0
# -29.3 < M1450 < -26.6
#
# counter  z      M1450  p
207  8.10  -27.60  1.0
208  8.10  -27.50  1.0
209  8.10  -27.40  1.0
210  8.10  -27.30  1.0
211  8.10  -27.20  1.0
212  8.10  -27.10  1.0
213  8.10  -27.00  1.0
214  8.10  -26.90  1.0
215  8.10  -26.80  1.0
216  8.10  -26.70  1.0
217  8.20  -29.30  1.0
218  8.20  -29.20  1.0
219  8.20  -29.10  1.0
220  8.20  -29.00  1.0
221  8.20  -28.90  1.0
222  8.20  -28.80  1.0
223  8.20  -28.70  1.0
224  8.20  -28.60  1.0
225  8.20  -28.50  1.0
226  8.20  -28.40  1.0
227  8.20  -28.30  1.0
228  8.20  -28.20  1.0
229  8.20  -28.10  1.0
230  8.20  -28.00  1.0
231  8.20  -27.90  1.0
232  8.20  -27.80  1.0
233  8.20  -27.70  1.0
234  8.20  -27.60  1.0
235  8.20  -27.50  1.0
236  8.20  -27.40  1.0
237  8.20  -27.30  1.0
238  8.20  -27.20  1.0
239  8.20  -27.10  1.0
240  8.20  -27.00  1.0
241  8.20  -26.90  1.0
242  8.20  -26.80  1.0
243  8.20  -26.70  1.0
244  8.30  -29.30  1.0
245  8.30  -29.20  1.0
246  8.30  -29.10  1.0
247  8.30  -29.00  1.0
248  8.30  -28.90  1.0
249  8.30  -28.80  1.0
250  8.30  -28.70  1.0
251  8.30  -28.60  1.0
252  8.30  -28.50  1.0
253  8.30  -28.40  1.0
254  8.30  -28.30  1.0
255  8.30  -28.20  1.0
256  8.30  -28.10  1.0
257  8.30  -28.00  1.0
258  8.30  -27.90  1.0
259  8.30  -27.80  1.0
260  8.30  -27.70  1.0
261  8.30  -27.60  1.0
262  8.30  -27.50  1.0
263  8.30  -27.40  1.0
264  8.30  -27.30  1.0
265  8.30  -27.20  1.0
266  8.30  -27.10  1.0
267  8.30  -27.00  1.0
268  8.30  -26.90  1.0
269  8.30  -26.80  1.0
270  8.30  -26.70  1.0
271  8.40  -29.30  1.0
272  8.40  -29.20  1.0
273  8.40  -29.10  1.0
274  8.40  -29.00  1.0
275  8.40  -28.90  1.0
276  8.40  -28.80  1.0
277  8.40  -28.70  1.0
278  8.40  -28.60  1.0
279  8.40  -28.50  1.0
280  8.40  -28.40  1.0
281  8.40  -28.30  1.0
282  8.40  -28.20  1.0
283  8.40  -28.10  1.0
284  8.40  -28.00  1.0
285  8.40  -27.90  1.0
286  8.40  -27.80  1.0
287  8.40  -27.70  1.0
288  8.40  -27.60  1.0
289  8.40  -27.50  1.0
290  8.40  -27.40  1.0
291  8.40  -27.30  1.0
292  8.40  -27.20  1.0
293  8.40  -27.10  1.0
294  8.40  -27.00  1.0
295  8.40  -26.90  1.0
296  8.40  -26.80  1.0
297  8.40  -26.70  1.0
298  8.50  -29.30  1.0
299  8.50  -29.20  1.0
300  8.50  -29.10  1.0
301  8.50  -29.00  1.0
302  8.50  -28.90  1.0
303  8.50  -28.80  1.0
304  8.50  -28.70  1.0
305  8.50  -28.60  1.0
306  8.50  -28.50  1.0
307  8.50  -28.40  1.0
308  8.50  -28.30  1.0
309  8.50  -28.20  1.0
310  8.50  -28.10  1.0
311  8.50  -28.00  1.0
312  8.50  -27.90  1.0
313  8.50  -27.80  1.0
314  8.50  -27.70  1.0
315  8.50  -27.60  1.0
316  8.50  -27.50  1.0
317  8.50  -27.40  1.0
318  8.50  -27.30  1.0
319  8.50  -27.20  1.0
320  8.50  -27.10  1.0
321  8.50  -27.00  1.0
322  8.50  -26.90  1.0
323  8.50  -26.80  1.0
324  8.50  -26.70  1.0
325  8.60  -29.30  1.0
326  8.60  -29.20  1.0
327  8.60  -29.10  1.0
328  8.60  -29.00  1.0
329  8.60  -28.90  1.0
330  8.60  -28.80  1.0
331  8.60  -28.70  1.0
332  8.60  -28.60  1.0
333  8.60  -28.50  1.0
334  8.60  -28.40  1.0
335  8.60  -28.30  1.0
336  8.60  -28.20  1.0
337  8.60  -28.10  1.0
338  8.60  -28.00  1.0
339  8.60  -27.90  1.0
340  8.60  -27.80  1.0
341  8.60  -27.70  1.0
342  8.60  -27.60  1.0
343  8.60  -27.50  1.0
344  8.60  -27.40  1.0
345  8.60  -27.30  1.0
346  8.60  -27.20  1.0
347  8.60  -27.10  1.0
348  8.60  -27.00  1.0
349  8.60  -26.90  1.0
350  8.60  -26.80  1.0
351  8.60  -26.70  1.0
352  8.70  -29.30  1.0
353  8.70  -29.20  1.0
354  8.70  -29.10  1.0
355  8.70  -29.00  1.0
356  8.70  -28.90  1.0
357  8.70  -28.80  1.0
358  8.70  -28.70  1.0
359  8.70  -28.60  1.0
360  8.70  -28.50  1.0
361  8.70  -28.40  1.0
362  8.70  -28.30  1.0
363  8.70  -28.20  1.0
364  8.70  -28.10  1.0
365  8.70  -28.00  1.0
366  8.70  -27.90  1.0
367  8.70  -27.80  1.0
368  8.70  -27.70  1.0
369  8.70  -27.60  1.0
370  8.70  -27.50  1.0
371  8.70  -27.40  1.0
372  8.70  -27.30  1.0
373  8.70  -27.20  1.0
374  8.70  -27.10  1.0
