# 2SLAQ sample in NGP region (Croom et al. 2009, MNRAS, 392, 19; Croom et al. 2009, MNRAS, 399, 1755)
# 8153 QSOs, 0.4<z<2.6, gmag_dered<21.85, 127.7deg2, range 2.2<z<2.6 likely superseded by BOSS
# sample includes QSOs previously observed by SDSS and 2QZ, minor double-counting with z<2.2 SDSS sample
# M1450 computed with gmag corrected for host galaxy light (Croom et al. 2009, MNRAS, 392, 19) and Beta's SED
# Croom et al.: host galaxy contribution significant and model-dependent at z<0.4 so only z>0.4 QSOs considered
# selection function corrected for coverage completeness (not all targets observed, different for NGP and SGP regions, Fig 4 in catalog paper)
# selection function corrected for spectroscopic completeness (redshift success, Fig 6b in catalog paper, only quality=1 redshifts considered)
# counter  z     M1450  p       area    sample
      106  0.472 -22.68 0.92172  127.70 2
      107  0.476 -21.04 0.70986  127.70 2
      108  0.476 -21.36 0.72757  127.70 2
      109  0.476 -20.14 0.51168  127.70 2
      110  0.477 -21.63 0.77137  127.70 2
      111  0.477 -22.17 0.88510  127.70 2
      112  0.477 -20.52 0.65765  127.70 2
      113  0.477 -22.27 0.88510  127.70 2
      114  0.477 -19.75 0.24968  127.70 2
      115  0.479 -21.41 0.72757  127.70 2
      116  0.481 -19.57 0.20087  127.70 2
      117  0.482 -22.47 0.90066  127.70 2
      118  0.483 -21.43 0.72757  127.70 2
      119  0.484 -21.86 0.82448  127.70 2
      120  0.486 -21.63 0.77137  127.70 2
      121  0.487 -21.49 0.72757  127.70 2
      122  0.488 -20.82 0.60789  127.70 2
      123  0.488 -20.18 0.51168  127.70 2
      124  0.489 -21.01 0.60789  127.70 2
      125  0.490 -20.09 0.51168  127.70 2
      126  0.491 -21.61 0.77137  127.70 2
      127  0.493 -22.57 0.90066  127.70 2
      128  0.493 -21.82 0.77137  127.70 2
      129  0.493 -21.91 0.82448  127.70 2
      130  0.495 -19.33 0.16136  127.70 2
      131  0.497 -19.64 0.20087  127.70 2
      132  0.497 -20.67 0.65765  127.70 2
      133  0.497 -20.19 0.51168  127.70 2
      134  0.498 -20.68 0.65765  127.70 2
      135  0.498 -20.55 0.59955  127.70 2
      136  0.498 -20.28 0.51168  127.70 2
      137  0.499 -22.11 0.82448  127.70 2
      138  0.499 -20.76 0.65765  127.70 2
      139  0.499 -20.45 0.59955  127.70 2
      140  0.502 -20.21 0.51168  127.70 2
      141  0.503 -20.47 0.59955  127.70 2
      142  0.503 -21.09 0.60789  127.70 2
      143  0.504 -22.06 0.82448  127.70 2
      144  0.504 -21.09 0.60789  127.70 2
      145  0.506 -20.47 0.59955  127.70 2
      146  0.509 -21.66 0.72757  127.70 2
      147  0.510 -22.33 0.88510  127.70 2
      148  0.510 -20.16 0.51168  127.70 2
      149  0.510 -20.25 0.51168  127.70 2
      150  0.511 -19.79 0.20087  127.70 2
      151  0.512 -20.29 0.51168  127.70 2
      152  0.513 -20.36 0.51168  127.70 2
      153  0.514 -22.32 0.88510  127.70 2
      154  0.516 -20.53 0.59955  127.70 2
      155  0.516 -19.44 0.16136  127.70 2
      156  0.517 -21.57 0.72757  127.70 2
      157  0.518 -22.03 0.82448  127.70 2
      158  0.519 -19.45 0.16136  127.70 2
      159  0.519 -21.23 0.70986  127.70 2
      160  0.519 -20.58 0.59955  127.70 2
      161  0.519 -20.25 0.51168  127.70 2
      162  0.520 -20.20 0.51168  127.70 2
