# 2SLAQ sample in SGP region (Croom et al. 2009, MNRAS, 392, 19; Croom et al. 2009, MNRAS, 399, 1755)
# 3663 QSOs, 0.4<z<2.6, gmag_dered<21.85, 64.2deg2, range 2.2<z<2.6 likely superseded by BOSS
# sample includes QSOs previously observed by SDSS and 2QZ, minor double-counting with z<2.2 SDSS sample
# M1450 computed with gmag corrected for host galaxy light (Croom et al. 2009, MNRAS, 392, 19) and Beta's SED
# Croom et al.: host galaxy contribution significant and model-dependent at z<0.4 so only z>0.4 QSOs considered
# selection function corrected for coverage completeness (not all targets observed, different for NGP and SGP regions, Fig 4 in catalog paper)
# selection function corrected for spectroscopic completeness (redshift success, Fig 6b in catalog paper, only quality=1 redshifts considered)
# counter  z     M1450  p       area    sample
      106  0.516 -22.80 0.85463   64.20 15
      107  0.520 -22.46 0.71739   64.20 15
      108  0.522 -22.24 0.56526   64.20 15
      109  0.523 -20.78 0.36716   64.20 15
      110  0.524 -21.08 0.22986   64.20 15
      111  0.524 -22.31 0.71739   64.20 15
      112  0.526 -23.08 0.82315   64.20 15
      113  0.526 -20.55 0.45422   64.20 15
      114  0.527 -22.95 0.83449   64.20 15
      115  0.527 -23.11 0.82315   64.20 15
      116  0.527 -21.34 0.32449   64.20 15
      117  0.528 -22.30 0.69814   64.20 15
      118  0.529 -20.81 0.35407   64.20 15
      119  0.530 -22.80 0.83449   64.20 15
      120  0.530 -21.80 0.38392   64.20 15
      121  0.532 -21.70 0.32352   64.20 15
      122  0.532 -20.12 0.22263   64.20 15
      123  0.533 -22.34 0.69814   64.20 15
      124  0.533 -20.95 0.35407   64.20 15
      125  0.534 -22.78 0.80391   64.20 15
      126  0.534 -21.41 0.32449   64.20 15
      127  0.535 -23.08 0.82315   64.20 15
      128  0.535 -22.67 0.80391   64.20 15
      129  0.538 -20.89 0.35407   64.20 15
      130  0.540 -21.07 0.22594   64.20 15
      131  0.540 -20.93 0.35407   64.20 15
      132  0.540 -21.71 0.32352   64.20 15
      133  0.541 -20.89 0.35407   64.20 15
      134  0.543 -23.30 0.82315   64.20 15
      135  0.545 -23.49 0.79883   64.20 15
      136  0.547 -20.93 0.35407   64.20 15
      137  0.547 -22.16 0.55756   64.20 15
      138  0.548 -22.52 0.69814   64.20 15
      139  0.549 -23.02 0.83449   64.20 15
      140  0.549 -23.21 0.82315   64.20 15
      141  0.549 -20.27 0.22263   64.20 15
      142  0.550 -20.78 0.45422   64.20 15
      143  0.551 -22.49 0.69814   64.20 15
      144  0.552 -22.37 0.55756   64.20 15
      145  0.553 -23.21 0.82315   64.20 15
      146  0.553 -22.82 0.80391   64.20 15
      147  0.554 -20.03 0.17051   64.20 15
      148  0.555 -20.77 0.45422   64.20 15
      149  0.555 -21.58 0.32449   64.20 15
      150  0.555 -22.79 0.80391   64.20 15
      151  0.556 -20.41 0.41249   64.20 15
      152  0.556 -23.44 0.79883   64.20 15
      153  0.557 -21.69 0.32352   64.20 15
      154  0.558 -22.95 0.83449   64.20 15
      155  0.559 -22.98 0.83449   64.20 15
      156  0.563 -20.67 0.45422   64.20 15
      157  0.565 -20.88 0.45422   64.20 15
      158  0.566 -21.94 0.38392   64.20 15
      159  0.566 -20.25 0.22263   64.20 15
      160  0.568 -21.64 0.32449   64.20 15
      161  0.568 -20.58 0.41249   64.20 15
      162  0.570 -23.28 0.82315   64.20 15
      163  0.570 -20.71 0.45422   64.20 15
      164  0.572 -21.67 0.32449   64.20 15
      165  0.574 -22.83 0.80391   64.20 15
      166  0.574 -21.55 0.32449   64.20 15
      167  0.576 -21.66 0.30943   64.20 15
      168  0.577 -21.60 0.30943   64.20 15
      169  0.578 -22.55 0.68851   64.20 15
      170  0.579 -21.70 0.30943   64.20 15
      171  0.580 -23.56 0.78305   64.20 15
      172  0.582 -23.14 0.83799   64.20 15
